,time,temperature_2m,relativehumidity_2m,precipitation,weathercode,cloudcover,windspeed_10m,winddirection_10m
0,2022-01-01T00:00,11.8,82.0,0.0,0.0,17.0,11.5,51.0
1,2022-01-01T01:00,11.6,83.0,0.0,0.0,13.0,11.5,49.0
2,2022-01-01T02:00,11.6,84.0,0.0,0.0,7.0,11.2,50.0
3,2022-01-01T03:00,14.2,76.0,0.0,0.0,2.0,10.7,45.0
4,2022-01-01T04:00,17.1,66.0,0.0,0.0,1.0,9.6,34.0
5,2022-01-01T05:00,19.1,61.0,0.0,0.0,3.0,8.6,15.0
6,2022-01-01T06:00,20.5,59.0,0.0,1.0,20.0,7.2,354.0
7,2022-01-01T07:00,21.2,58.0,0.0,2.0,73.0,6.3,336.0
8,2022-01-01T08:00,21.6,55.0,0.0,3.0,84.0,5.1,309.0
9,2022-01-01T09:00,21.8,53.0,0.0,3.0,100.0,5.4,278.0
10,2022-01-01T10:00,21.7,53.0,0.0,3.0,100.0,5.6,285.0
11,2022-01-01T11:00,21.2,56.0,0.0,3.0,100.0,5.7,288.0
12,2022-01-01T12:00,20.2,61.0,0.0,3.0,83.0,4.8,312.0
13,2022-01-01T13:00,18.9,67.0,0.0,3.0,82.0,5.8,7.0
14,2022-01-01T14:00,17.8,71.0,0.0,2.0,70.0,5.6,40.0
15,2022-01-01T15:00,16.8,74.0,0.0,2.0,53.0,7.4,51.0
16,2022-01-01T16:00,16.2,76.0,0.0,1.0,46.0,8.1,58.0
17,2022-01-01T17:00,15.6,77.0,0.0,2.0,52.0,9.6,56.0
18,2022-01-01T18:00,15.1,78.0,0.0,1.0,37.0,10.6,55.0
19,2022-01-01T19:00,14.8,80.0,0.0,1.0,20.0,10.8,53.0
20,2022-01-01T20:00,14.3,82.0,0.0,1.0,22.0,10.6,55.0
21,2022-01-01T21:00,13.9,83.0,0.0,1.0,20.0,10.9,56.0
22,2022-01-01T22:00,13.8,82.0,0.0,0.0,17.0,10.8,53.0
23,2022-01-01T23:00,13.2,84.0,0.0,0.0,11.0,9.7,51.0
24,2022-01-02T00:00,13.2,83.0,0.0,0.0,6.0,7.4,67.0
25,2022-01-02T01:00,12.7,84.0,0.0,0.0,8.0,7.2,63.0
26,2022-01-02T02:00,12.8,84.0,0.0,0.0,5.0,8.0,63.0
27,2022-01-02T03:00,15.0,77.0,0.0,0.0,7.0,6.7,54.0
28,2022-01-02T04:00,17.3,69.0,0.0,0.0,2.0,5.5,32.0
29,2022-01-02T05:00,19.2,65.0,0.0,0.0,9.0,4.3,360.0
30,2022-01-02T06:00,20.7,61.0,0.0,0.0,18.0,1.5,315.0
31,2022-01-02T07:00,21.9,57.0,0.0,3.0,83.0,3.7,169.0
32,2022-01-02T08:00,22.5,53.0,0.0,3.0,87.0,7.4,151.0
33,2022-01-02T09:00,22.9,51.0,0.0,2.0,76.0,8.2,142.0
34,2022-01-02T10:00,23.0,49.0,0.0,1.0,36.0,5.6,135.0
35,2022-01-02T11:00,22.2,52.0,0.0,1.0,37.0,5.2,106.0
36,2022-01-02T12:00,20.9,58.0,0.0,1.0,30.0,4.8,77.0
37,2022-01-02T13:00,19.1,64.0,0.0,1.0,41.0,8.4,65.0
38,2022-01-02T14:00,17.6,69.0,0.0,0.0,9.0,9.0,61.0
39,2022-01-02T15:00,16.5,71.0,0.0,0.0,4.0,8.6,57.0
40,2022-01-02T16:00,15.5,73.0,0.0,0.0,3.0,7.2,53.0
41,2022-01-02T17:00,14.8,75.0,0.0,0.0,1.0,6.1,62.0
42,2022-01-02T18:00,13.9,78.0,0.0,0.0,0.0,5.9,76.0
43,2022-01-02T19:00,13.5,80.0,0.0,0.0,0.0,6.6,81.0
44,2022-01-02T20:00,13.2,80.0,0.0,0.0,0.0,8.3,85.0
45,2022-01-02T21:00,13.0,80.0,0.0,0.0,0.0,9.9,80.0
46,2022-01-02T22:00,12.9,79.0,0.0,0.0,0.0,10.6,72.0
47,2022-01-02T23:00,12.7,79.0,0.0,0.0,0.0,10.2,67.0
48,2022-01-03T00:00,12.3,80.0,0.0,0.0,0.0,9.3,62.0
49,2022-01-03T01:00,12.0,82.0,0.0,0.0,0.0,8.4,65.0
50,2022-01-03T02:00,11.9,83.0,0.0,0.0,0.0,8.7,66.0
51,2022-01-03T03:00,14.1,75.0,0.0,0.0,0.0,8.4,65.0
52,2022-01-03T04:00,16.8,65.0,0.0,0.0,0.0,6.6,49.0
53,2022-01-03T05:00,19.1,57.0,0.0,0.0,0.0,4.1,38.0
54,2022-01-03T06:00,20.6,54.0,0.0,0.0,0.0,0.5,315.0
55,2022-01-03T07:00,21.9,51.0,0.0,0.0,0.0,3.4,198.0
56,2022-01-03T08:00,22.8,49.0,0.0,0.0,3.0,5.4,180.0
57,2022-01-03T09:00,23.3,47.0,0.0,0.0,14.0,6.2,170.0
58,2022-01-03T10:00,23.3,47.0,0.0,0.0,18.0,6.1,177.0
59,2022-01-03T11:00,22.9,47.0,0.0,0.0,19.0,4.9,163.0
60,2022-01-03T12:00,21.8,53.0,0.0,0.0,14.0,2.3,129.0
61,2022-01-03T13:00,19.6,61.0,0.0,0.0,5.0,4.8,77.0
62,2022-01-03T14:00,17.8,65.0,0.0,0.0,5.0,5.2,74.0
63,2022-01-03T15:00,16.5,67.0,0.0,0.0,6.0,7.8,68.0
64,2022-01-03T16:00,15.5,68.0,0.0,0.0,4.0,8.2,67.0
65,2022-01-03T17:00,14.8,69.0,0.0,0.0,1.0,7.6,71.0
66,2022-01-03T18:00,14.2,71.0,0.0,0.0,0.0,7.2,72.0
67,2022-01-03T19:00,13.9,72.0,0.0,0.0,1.0,7.2,72.0
68,2022-01-03T20:00,13.5,73.0,0.0,0.0,0.0,6.4,74.0
69,2022-01-03T21:00,13.0,75.0,0.0,0.0,0.0,5.9,79.0
70,2022-01-03T22:00,12.4,77.0,0.0,0.0,0.0,5.8,83.0
71,2022-01-03T23:00,11.9,80.0,0.0,0.0,0.0,5.8,86.0
72,2022-01-04T00:00,11.3,83.0,0.0,0.0,0.0,5.4,94.0
73,2022-01-04T01:00,10.8,86.0,0.0,0.0,0.0,5.4,90.0
74,2022-01-04T02:00,10.9,87.0,0.0,0.0,0.0,3.7,79.0
75,2022-01-04T03:00,15.2,77.0,0.0,0.0,0.0,4.3,66.0
76,2022-01-04T04:00,18.9,59.0,0.0,0.0,5.0,1.9,22.0
77,2022-01-04T05:00,20.9,55.0,0.0,0.0,3.0,1.4,270.0
78,2022-01-04T06:00,22.2,53.0,0.0,0.0,0.0,3.6,217.0
79,2022-01-04T07:00,23.2,48.0,0.0,0.0,0.0,4.2,200.0
80,2022-01-04T08:00,23.9,45.0,0.0,0.0,0.0,4.1,195.0
81,2022-01-04T09:00,24.2,43.0,0.0,0.0,0.0,4.0,190.0
82,2022-01-04T10:00,24.2,42.0,0.0,0.0,0.0,4.0,175.0
83,2022-01-04T11:00,23.8,42.0,0.0,0.0,0.0,2.2,171.0
84,2022-01-04T12:00,22.6,49.0,0.0,0.0,1.0,2.3,321.0
85,2022-01-04T13:00,20.2,63.0,0.0,0.0,4.0,5.1,356.0
86,2022-01-04T14:00,18.1,68.0,0.0,0.0,2.0,5.6,27.0
87,2022-01-04T15:00,16.6,72.0,0.0,0.0,0.0,5.9,47.0
88,2022-01-04T16:00,15.8,73.0,0.0,0.0,0.0,6.5,56.0
89,2022-01-04T17:00,15.1,74.0,0.0,0.0,0.0,6.1,62.0
90,2022-01-04T18:00,14.5,75.0,0.0,0.0,0.0,6.1,62.0
91,2022-01-04T19:00,13.8,76.0,0.0,0.0,0.0,6.6,61.0
92,2022-01-04T20:00,13.2,77.0,0.0,0.0,0.0,7.1,66.0
93,2022-01-04T21:00,12.8,78.0,0.0,0.0,0.0,6.0,73.0
94,2022-01-04T22:00,12.9,75.0,0.0,0.0,0.0,2.9,83.0
95,2022-01-04T23:00,13.3,72.0,0.0,0.0,0.0,2.2,99.0
96,2022-01-05T00:00,12.8,74.0,0.0,0.0,0.0,3.7,119.0
97,2022-01-05T01:00,12.8,75.0,0.0,0.0,0.0,4.1,128.0
98,2022-01-05T02:00,14.7,67.0,0.0,0.0,0.0,4.0,153.0
99,2022-01-05T03:00,16.0,82.0,0.0,0.0,0.0,2.6,214.0
100,2022-01-05T04:00,19.8,56.0,0.0,0.0,0.0,5.4,266.0
101,2022-01-05T05:00,21.3,52.0,0.0,0.0,0.0,7.6,267.0
102,2022-01-05T06:00,22.4,50.0,0.0,0.0,1.0,8.0,262.0
103,2022-01-05T07:00,23.2,49.0,0.0,0.0,2.0,8.5,258.0
104,2022-01-05T08:00,23.7,48.0,0.0,0.0,1.0,9.1,252.0
105,2022-01-05T09:00,23.9,47.0,0.0,0.0,8.0,9.7,248.0
106,2022-01-05T10:00,23.6,47.0,0.0,1.0,24.0,9.7,243.0
107,2022-01-05T11:00,23.1,49.0,0.0,0.0,4.0,8.6,255.0
108,2022-01-05T12:00,21.9,55.0,0.0,0.0,7.0,7.6,270.0
109,2022-01-05T13:00,20.2,60.0,0.0,0.0,4.0,7.9,273.0
110,2022-01-05T14:00,19.1,63.0,0.0,0.0,3.0,7.6,273.0
111,2022-01-05T15:00,18.1,67.0,0.0,0.0,5.0,8.3,275.0
112,2022-01-05T16:00,17.3,70.0,0.0,0.0,5.0,9.0,272.0
113,2022-01-05T17:00,16.3,74.0,0.0,0.0,5.0,9.0,272.0
114,2022-01-05T18:00,16.8,71.0,0.0,0.0,3.0,7.2,276.0
115,2022-01-05T19:00,18.0,65.0,0.0,0.0,4.0,5.0,300.0
116,2022-01-05T20:00,17.7,65.0,0.0,0.0,4.0,4.3,312.0
117,2022-01-05T21:00,17.5,66.0,0.0,0.0,1.0,4.1,308.0
118,2022-01-05T22:00,17.3,66.0,0.0,0.0,3.0,5.0,249.0
119,2022-01-05T23:00,16.2,71.0,0.0,0.0,4.0,7.4,247.0
120,2022-01-06T00:00,14.7,78.0,0.0,0.0,0.0,7.5,253.0
121,2022-01-06T01:00,14.6,78.0,0.0,0.0,6.0,7.3,250.0
122,2022-01-06T02:00,15.0,76.0,0.0,0.0,3.0,5.9,256.0
123,2022-01-06T03:00,17.1,74.0,0.0,0.0,7.0,6.2,263.0
124,2022-01-06T04:00,19.9,60.0,0.0,0.0,2.0,9.8,264.0
125,2022-01-06T05:00,21.4,58.0,0.0,0.0,1.0,12.7,262.0
126,2022-01-06T06:00,22.5,56.0,0.0,0.0,1.0,13.7,256.0
127,2022-01-06T07:00,23.3,56.0,0.0,0.0,0.0,12.9,252.0
128,2022-01-06T08:00,24.1,53.0,0.0,0.0,1.0,11.3,248.0
129,2022-01-06T09:00,24.3,52.0,0.0,0.0,4.0,10.5,243.0
130,2022-01-06T10:00,24.2,52.0,0.0,0.0,2.0,10.8,240.0
131,2022-01-06T11:00,23.6,54.0,0.0,0.0,6.0,9.2,239.0
132,2022-01-06T12:00,22.4,60.0,0.0,0.0,7.0,7.4,247.0
133,2022-01-06T13:00,21.3,65.0,0.0,0.0,10.0,5.2,254.0
134,2022-01-06T14:00,19.9,71.0,0.0,0.0,14.0,0.7,270.0
135,2022-01-06T15:00,18.7,76.0,0.0,0.0,13.0,2.5,8.0
136,2022-01-06T16:00,18.1,78.0,0.0,1.0,30.0,4.1,38.0
137,2022-01-06T17:00,17.1,83.0,0.0,1.0,35.0,6.1,45.0
138,2022-01-06T18:00,16.8,85.0,0.0,1.0,26.0,7.2,53.0
139,2022-01-06T19:00,16.9,83.0,0.0,1.0,23.0,7.2,53.0
140,2022-01-06T20:00,16.4,85.0,0.0,0.0,18.0,7.2,53.0
141,2022-01-06T21:00,16.0,86.0,0.0,0.0,11.0,6.7,54.0
142,2022-01-06T22:00,15.5,88.0,0.0,0.0,15.0,6.0,57.0
